id,club_id,player_id
435,12454,75442
436,2995,75442
437,861,75442
438,1075,75442
439,1082,75442
440,432,75442
441,33304,75442
442,13,75442
443,294,75442
444,189,75442
447,2441,111630
448,368,111630
449,148,111630
450,12,111630
451,209,111630
455,965,55215
456,1531,55215
457,12,55215
458,583,55215
459,458,55215
460,2063,55215
461,3938,55215
464,36630,50570
465,583,50570
466,6195,50570
467,1775,50570
468,252,50570
469,14312,50570
473,288,19981
474,36630,19981
475,131,19981
476,31,19981
477,379,19981
478,199,19981
479,209,19981
481,379,342385
482,150,342385
483,3631,342385
484,13353,342385
485,209,342385
486,2402,342385
489,1444,22202
490,46,22202
491,252,22202
492,142,22202
494,537,576028
495,1041,576028
496,51663,576028
497,1029,576028
500,209,3411
502,15817,3411
503,294,3411
504,142,3411
505,1049,3411
507,826,474800
508,3938,474800
512,26,5938
513,46,5938
514,418,5938
515,12,5938
516,189,5938
517,1286,5938
519,1025,849520
520,1029,849520
524,1286,7895
525,861,7895
526,31,7895
527,13,7895
528,714,7895
530,288,423436
531,44,423436
532,2239,423436
533,79,423436
535,209,56066
536,288,56066
537,1049,56066
538,294,56066
539,12574,56066
542,1050,480763
543,148,480763
544,288,480763
546,6195,282388
547,276,282388
548,1390,282388
549,430,282388
550,252,282388
551,209,282388
552,830,282388
555,12,668951
556,506,668951
557,8970,668951
562,989,469781
563,234,469781
564,1775,469781
568,1049,35939
569,964,35939
570,294,35939
571,418,35939
572,630,35939
573,1286,35939
576,12454,27661
577,1444,27661
579,51663,27661
580,6600,27661
581,6297,27661
582,1041,27661
583,720,27661
585,333,84535
586,7633,84535
587,189,84535
588,294,84535
589,13,84535
591,1237,983989
592,1003,983989
593,1418,983989
597,679,26244
599,209,26244
600,3229,26244
601,720,26244
602,244,26244
603,2063,26244
605,210,373170
606,330,373170
607,189,373170
608,1061,373170
609,1070,373170
610,3938,373170
614,6890,26721
615,6646,26721
616,5,26721
617,398,26721
618,58,26721
619,1234,26721
620,1030,26721
622,209,281405
623,18544,281405
624,51663,281405
625,2063,281405
628,209,7611
629,276,7611
630,683,7611
631,1084,7611
632,294,7611
633,418,7611
634,131,7611
635,368,7611
636,162,7611
639,1234,7968
640,131,7968
641,142,7968
643,288,193782
644,6600,193782
645,24,193782
646,15,193782
647,209,193782
648,1070,193782
650,209,135853
651,379,135853
652,2524,135853
653,2462,135853
655,1286,12249
656,9840,12249
657,368,12249
658,46,12249
659,1049,12249
660,13,12249
661,189,12249
663,1047,948294
670,1444,214316
671,26069,214316
672,1114,214316
673,9840,214316
674,336,214316
675,13,214316
676,931,214316
677,1049,214316
678,368,214316
679,1050,214316
682,209,113133
683,150,113133
684,430,113133
687,398,522784
688,40058,522784
689,12321,522784
690,37535,522784
691,1037,522784
693,800,242359
694,13,242359
695,410,242359
696,1444,242359
701,380,54984
702,36,54984
703,12,54984
704,252,54984
705,368,54984
706,189,54984
707,8519,54984
708,12458,54984
710,244,575998
711,16,575998
712,189,575998
715,189,93176
716,985,93176
717,288,93176
718,336,93176
719,232,93176
723,379,20007
724,281,20007
725,714,20007
726,1775,20007
728,281,994536
729,209,994536
732,430,628366
733,209,628366
734,1070,628366
739,1030,3854
740,189,3854
742,1050,3854
743,131,3854
746,288,184672
747,9982,184672
748,1531,184672
749,180,184672
750,1244,184672
751,162,184672
753,209,60410
754,368,60410
755,336,60410
756,1444,60410
757,4557,60410
759,940,341110
760,294,341110
761,1418,341110
765,398,45653
766,5,45653
767,1050,45653
771,2239,76163
772,130,76163
773,368,76163
774,458,76163
775,367,76163
776,2417,76163
779,2919,20005
780,368,20005
781,800,20005
782,6414,20005
783,1627,20005
784,1775,20005
785,4673,20005
787,1444,480774
788,330,480774
790,703,497291
791,1025,497291
792,1029,497291
796,1306,26456
797,4031,26456
798,928,26456
799,10492,26456
800,2863,26456
801,189,26456
802,1010,26456
803,1029,26456
804,5432,26456
805,430,26456
806,379,26456
807,1039,26456
808,398,26456
809,46,26456
810,656,26456
811,337,26456
813,209,402733
814,368,402733
815,703,402733
818,2441,112302
819,410,112302
821,1010,112302
822,506,112302
823,209,112302
825,17829,112302
827,1286,5555
828,12,5555
829,244,5555
830,418,5555
831,985,5555
832,583,5555
833,366,5555
834,336,5555
837,1029,76077
838,8590,76077
839,1038,76077
840,289,76077
841,46,76077
845,1084,2963
846,714,2963
847,281,2963
848,13,2963
849,27,2963
850,209,2963
854,288,3143
856,631,3143
857,46,3143
858,985,3143
859,398,3143
860,130,3143
861,1038,3143
862,189,3143
865,130,3410
866,252,3410
867,46,3410
868,631,3410
869,5,3410
870,398,3410
871,209,3410
873,209,294853
874,72309,294853
875,964,294853
878,603,190780
879,995,190780
880,40,190780
881,1162,190780
882,1161,190780
883,10868,190780
885,47801,190780
886,30309,190780
888,840,3954
889,3523,3954
890,714,3954
891,368,3954
892,630,3954
893,897,3954
894,336,3954
895,1286,3954
897,46,787618
898,244,787618
899,2919,787618
905,614,748319
906,29,748319
907,180,748319
908,506,748319
909,1444,748319
912,1444,491698
913,189,491698
916,209,373373
917,430,373373
920,28619,373373
921,16795,334222
922,1531,334222
923,416,334222
